No,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Platform_LE
1, Traffic was terrible this morning.                 , Negative  ,2023-01-15 08:45:00, CommuterX    ,Twitter, #Traffic #Morning                        ,0.0,0.0, Canada   ,2023,1,15,8,2
2, Just finished an amazing workout! 💪               , Positive  ,2023-01-15 15:45:00, FitnessFan   ,Instagram, #Fitness #Workout                        ,0.42857142857142855,0.42857142857142855, USA        ,2023,1,15,15,1
3, Excited about the upcoming weekend getaway!        , Positive  ,2023-01-15 18:20:00, AdventureX   ,Facebook, #Travel #Adventure                       ,0.08571428571428572,0.07142857142857142, UK       ,2023,1,15,18,0
4, Trying out a new recipe for dinner tonight.        , Neutral   ,2023-01-15 19:55:00, ChefCook     ,Instagram, #Cooking #Food                           ,0.2,0.2142857142857143, Australia ,2023,1,15,19,1
5, Feeling grateful for the little things in life.    , Positive  ,2023-01-16 09:10:00, GratitudeNow ,Twitter, #Gratitude #PositiveVibes              ,0.5714285714285714,0.5714285714285714, India    ,2023,1,16,9,2
6, Rainy days call for cozy blankets and hot cocoa.   , Positive  ,2023-01-16 14:45:00, RainyDays    ,Facebook, #RainyDays #Cozy                         ,0.14285714285714285,0.14285714285714285, Canada   ,2023,1,16,14,0
7, The new movie release is a must-watch!             , Positive  ,2023-01-16 19:30:00, MovieBuff    ,Instagram, #MovieNight #MustWatch                  ,0.2857142857142857,0.2857142857142857, USA    ,2023,1,16,19,1
8, Political discussions heating up on the timeline.  , Negative  ,2023-01-17 08:00:00, DebateTalk   ,Twitter, #Politics #Debate                       ,0.7142857142857142,0.7142857142857142, USA      ,2023,1,17,8,2
9, Missing summer vibes and beach days.               , Neutral   ,2023-01-17 12:20:00, BeachLover   ,Facebook, #Summer #BeachDays                      ,0.3714285714285714,0.35714285714285715, Australia ,2023,1,17,12,0
10, Just published a new blog post. Check it out!      , Positive  ,2023-01-17 15:15:00, BloggerX     ,Instagram, #Blogging #NewPost                      ,0.4857142857142857,0.49999999999999994,USA,2023,1,17,15,1
11, Feeling a bit under the weather today.             , Negative  ,2023-01-18 10:30:00, WellnessCheck,Twitter, #SickDay #Health                        ,0.057142857142857134,0.07142857142857142, Canada   ,2023,1,18,10,2
12, Exploring the city's hidden gems.                  , Positive  ,2023-01-18 14:50:00, UrbanExplorer,Facebook, #CityExplore #HiddenGems                ,0.2,0.2142857142857143, UK       ,2023,1,18,14,0
13," New year, new fitness goals! 💪                    ", Positive  ,2023-01-18 18:00:00, FitJourney   ,Instagram, #NewYear #FitnessGoals                  ,0.657142857142857,0.6428571428571428, USA        ,2023,1,18,18,1
14, Technology is changing the way we live.            , Neutral   ,2023-01-19 09:45:00, TechEnthusiast,Twitter, #Tech #Innovation                       ,0.2857142857142857,0.2857142857142857, India    ,2023,1,19,9,2
15, Reflecting on the past and looking ahead.          , Positive  ,2023-01-19 13:20:00, Reflections  ,Facebook, #Reflection #Future                     ,0.42857142857142855,0.42857142857142855, USA      ,2023,1,19,13,0
16, Just adopted a cute furry friend! 🐾              , Positive  ,2023-01-19 17:10:00, PetAdopter   ,Instagram, #PetAdoption #FurryFriend               ,0.2857142857142857,0.2857142857142857, Canada    ,2023,1,19,17,1
